updated_type,updated_subtype,hour,latitude,longitude,count
Accident,Minor,16:00,41.83,-87.63,2
Accident,Minor,17:00,41.9,-87.62,8
Accident,Minor,17:00,41.89,-87.65,5
Accident,Minor,17:00,41.9,-87.66,3
Accident,Minor,17:00,41.74,-87.63,2
Accident,Minor,17:00,41.77,-87.63,2
Accident,Minor,17:00,41.82,-87.6,2
Accident,Minor,17:00,41.84,-87.66,2
Accident,Minor,17:00,41.86,-87.64,2
Accident,Minor,17:00,41.88,-87.65,2
Accident,Minor,17:00,41.92,-87.67,2
Accident,Minor,18:00,41.87,-87.64,6
Accident,Minor,18:00,41.89,-87.65,5
Accident,Minor,18:00,41.84,-87.63,4
Accident,Minor,18:00,41.88,-87.65,4
Accident,Minor,18:00,41.95,-87.73,4
Accident,Minor,18:00,41.71,-87.6,3
Accident,Minor,18:00,41.85,-87.64,3
Accident,Minor,18:00,41.91,-87.66,3
Accident,Minor,18:00,41.8,-87.76,2
Accident,Minor,18:00,41.83,-87.7,2
Accident,Minor,19:00,41.9,-87.66,7
Accident,Minor,19:00,41.89,-87.65,5
Accident,Minor,19:00,41.83,-87.7,4
Accident,Minor,19:00,41.88,-87.65,4
Accident,Minor,19:00,41.99,-87.65,4
Accident,Minor,19:00,41.83,-87.63,3
Accident,Minor,19:00,41.84,-87.63,3
Accident,Minor,19:00,41.86,-87.64,3
Accident,Minor,19:00,41.91,-87.66,3
Accident,Minor,19:00,41.96,-87.74,3
Accident,Minor,20:00,41.87,-87.64,6
Accident,Minor,20:00,41.88,-87.65,6
Accident,Minor,20:00,41.89,-87.65,5
Accident,Minor,20:00,41.96,-87.74,5
Accident,Minor,20:00,41.86,-87.64,4
Accident,Minor,20:00,41.88,-87.66,4
Accident,Minor,20:00,41.96,-87.75,4
Accident,Minor,20:00,41.97,-87.75,4
Accident,Minor,20:00,41.82,-87.74,3
Accident,Minor,20:00,41.84,-87.63,3
Accident,Minor,21:00,41.88,-87.65,8
Accident,Minor,21:00,41.85,-87.64,7
Accident,Minor,21:00,41.86,-87.64,7
Accident,Minor,21:00,41.89,-87.65,6
Accident,Minor,21:00,41.87,-87.77,5
Accident,Minor,21:00,41.87,-87.73,5
Accident,Minor,21:00,41.96,-87.74,5
Accident,Minor,21:00,41.82,-87.63,4
Accident,Minor,21:00,41.88,-87.69,4
Accident,Minor,21:00,41.94,-87.71,4
Accident,Minor,22:00,41.95,-87.72,8
Accident,Minor,22:00,41.87,-87.65,6
Accident,Minor,22:00,41.88,-87.65,6
Accident,Minor,22:00,41.96,-87.74,5
Accident,Minor,22:00,41.98,-87.79,5
Accident,Minor,22:00,41.79,-87.63,4
Accident,Minor,22:00,41.86,-87.64,4
Accident,Minor,22:00,41.88,-87.67,4
Accident,Minor,22:00,41.89,-87.65,4
Accident,Minor,22:00,41.78,-87.63,3
Accident,Minor,23:00,41.84,-87.66,6
Accident,Minor,23:00,41.79,-87.63,5
Accident,Minor,23:00,41.88,-87.65,5
Accident,Minor,23:00,41.95,-87.72,5
Accident,Minor,23:00,41.87,-87.78,4
Accident,Minor,23:00,41.9,-87.66,4
Accident,Minor,23:00,41.97,-87.76,4
Accident,Minor,23:00,41.73,-87.62,3
Accident,Minor,23:00,41.75,-87.62,3
Accident,Minor,23:00,41.86,-87.64,3
Accident,Unclassified,00:00,41.9,-87.62,32
Accident,Unclassified,00:00,41.89,-87.65,27
Accident,Unclassified,00:00,41.88,-87.65,24
Accident,Unclassified,00:00,41.86,-87.64,21
Accident,Unclassified,00:00,41.87,-87.64,20
Accident,Unclassified,00:00,41.9,-87.66,18
Accident,Unclassified,00:00,41.76,-87.63,17
Accident,Unclassified,00:00,41.85,-87.64,17
Accident,Unclassified,00:00,41.92,-87.67,16
Accident,Unclassified,00:00,41.98,-87.79,15
Accident,Unclassified,01:00,41.9,-87.66,25
Accident,Unclassified,01:00,41.88,-87.65,23
Accident,Unclassified,01:00,41.89,-87.65,21
Accident,Unclassified,01:00,41.87,-87.64,17
Accident,Unclassified,01:00,41.9,-87.62,15
Accident,Unclassified,01:00,41.92,-87.67,14
Accident,Unclassified,01:00,41.86,-87.64,12
Accident,Unclassified,01:00,41.91,-87.66,12
Accident,Unclassified,01:00,41.91,-87.67,11
Accident,Unclassified,01:00,41.91,-87.63,11
Accident,Unclassified,02:00,41.9,-87.66,26
Accident,Unclassified,02:00,41.9,-87.62,21
Accident,Unclassified,02:00,41.88,-87.65,17
Accident,Unclassified,02:00,41.86,-87.64,16
Accident,Unclassified,02:00,41.89,-87.65,16
Accident,Unclassified,02:00,41.85,-87.64,14
Accident,Unclassified,02:00,41.87,-87.64,14
Accident,Unclassified,02:00,41.88,-87.62,13
Accident,Unclassified,02:00,41.91,-87.67,10
Accident,Unclassified,02:00,41.72,-87.62,9
Accident,Unclassified,03:00,41.89,-87.65,25
Accident,Unclassified,03:00,41.9,-87.66,21
Accident,Unclassified,03:00,41.86,-87.64,18
Accident,Unclassified,03:00,41.88,-87.65,17
Accident,Unclassified,03:00,41.85,-87.64,16
Accident,Unclassified,03:00,41.9,-87.62,16
Accident,Unclassified,03:00,41.91,-87.66,14
Accident,Unclassified,03:00,41.92,-87.67,13
Accident,Unclassified,03:00,41.87,-87.65,12
Accident,Unclassified,03:00,41.81,-87.63,11
Accident,Unclassified,04:00,41.88,-87.65,21
Accident,Unclassified,04:00,41.9,-87.66,17
Accident,Unclassified,04:00,41.9,-87.62,16
Accident,Unclassified,04:00,41.89,-87.65,15
Accident,Unclassified,04:00,41.85,-87.64,14
Accident,Unclassified,04:00,41.81,-87.63,11
Accident,Unclassified,04:00,41.88,-87.64,11
Accident,Unclassified,04:00,41.87,-87.64,10
Accident,Unclassified,04:00,41.88,-87.66,10
Accident,Unclassified,04:00,41.86,-87.64,9
Accident,Unclassified,05:00,41.88,-87.65,14
Accident,Unclassified,05:00,41.79,-87.63,10
Accident,Unclassified,05:00,41.86,-87.64,10
